,word,wordCount,wordImportance
243,w/,33,0.09096954583238871
244,money,33,0.09096954583238871
245,coming,33,0.09096954583238871
246,excited,32,0.09381234413965087
247,end,32,0.09381234413965087
248,said,32,0.09381234413965087
249,morning,32,0.09381234413965087
250,phone,32,0.09381234413965087
251,high_times_mag,32,0.09381234413965087
252,value,32,0.09381234413965087
253,200,32,0.09381234413965087
254,making,32,0.09381234413965087
255,lot,32,0.09381234413965087
256,sa,32,0.09381234413965087
257,aww,32,0.09381234413965087
258,justin,32,0.09381234413965087
259,mom,32,0.09381234413965087
260,foods,31,0.09683854878931704
261,guide,31,0.09683854878931704
262,live,31,0.09683854878931704
263,apple,31,0.09683854878931704
264,already,31,0.09683854878931704
265,tweet,31,0.09683854878931704
266,birthday,31,0.09683854878931704
267,visa,31,0.09683854878931704
268,stories,31,0.09683854878931704
269,true,31,0.09683854878931704
270,small,31,0.09683854878931704
271,around,31,0.09683854878931704
272,book,31,0.09683854878931704
273,job,31,0.09683854878931704
274,fun,31,0.09683854878931704
275,looks,30,0.10006650041562759
276,must,30,0.10006650041562759
277,tlcclub,30,0.10006650041562759
278,ass,30,0.10006650041562759
279,6,30,0.10006650041562759
280,hd,30,0.10006650041562759
281,fire,29,0.10351706939547684
282,old,29,0.10351706939547684
283,tracks,29,0.10351706939547684
284,perfect,29,0.10351706939547684
285,since,29,0.10351706939547684
286,friends,29,0.10351706939547684
287,believe,29,0.10351706939547684
288,wanted,29,0.10351706939547684
289,system,29,0.10351706939547684
290,review,29,0.10351706939547684
291,michelleshaeffr,29,0.10351706939547684
292,tablet,29,0.10351706939547684
293,chriswarcraft,29,0.10351706939547684
294,easy,29,0.10351706939547684
295,play,28,0.10721410758817242
296,fans,28,0.10721410758817242
297,hot,28,0.10721410758817242
298,series,28,0.10721410758817242
299,build,28,0.10721410758817242
300,interview,28,0.10721410758817242
301,cause,28,0.10721410758817242
302,500,28,0.10721410758817242
303,ready,28,0.10721410758817242
304,coffee,28,0.10721410758817242
305,https,28,0.10721410758817242
306,im,28,0.10721410758817242
307,wish,28,0.10721410758817242
308,women,27,0.11118500046180844
309,'d,27,0.11118500046180844
310,miss,27,0.11118500046180844
311,familyfocusblog,27,0.11118500046180844
312,summer,27,0.11118500046180844
313,trying,27,0.11118500046180844
314,days,27,0.11118500046180844
315,edition,27,0.11118500046180844
316,kindle,27,0.11118500046180844
317,😘,27,0.11118500046180844
318,download,27,0.11118500046180844
319,guess,27,0.11118500046180844
320,n,26,0.11546134663341646
321,dead,26,0.11546134663341646
322,pic,26,0.11546134663341646
323,green,26,0.11546134663341646
324,sweet,26,0.11546134663341646
325,call,26,0.11546134663341646
326,bit,26,0.11546134663341646
327,freeaveragejoe,26,0.11546134663341646
328,4s,26,0.11546134663341646
329,using,26,0.11546134663341646
330,😂,26,0.11546134663341646
331,starting,26,0.11546134663341646
332,years,26,0.11546134663341646
333,fan,26,0.11546134663341646
334,wait,26,0.11546134663341646
335,soon,26,0.11546134663341646
336,part,26,0.11546134663341646
337,two,25,0.12007980049875311
338,blu-ray,25,0.12007980049875311
339,office,25,0.12007980049875311
340,remember,25,0.12007980049875311
341,baby,25,0.12007980049875311
342,mikeyboycanada,25,0.12007980049875311
343,microsoft,25,0.12007980049875311
344,blog30,25,0.12007980049875311
345,family,25,0.12007980049875311
346,2013,25,0.12007980049875311
347,simonethewanted,25,0.12007980049875311
348,shows,25,0.12007980049875311
349,maybe,24,0.1250831255195345
350,ko,24,0.1250831255195345
351,{,24,0.1250831255195345
352,girl,24,0.1250831255195345
353,8,24,0.1250831255195345
354,“,24,0.1250831255195345
355,high,24,0.1250831255195345
356,create,24,0.1250831255195345
357,stay,24,0.1250831255195345
358,omg,24,0.1250831255195345
359,yet,24,0.1250831255195345
360,gets,24,0.1250831255195345
361,super,24,0.1250831255195345
362,team,24,0.1250831255195345
363,mind,23,0.13052152228125338
364,pizza,23,0.13052152228125338
365,pretty,23,0.13052152228125338
366,sleep,23,0.13052152228125338
367,internet,23,0.13052152228125338
368,bossypally,23,0.13052152228125338
369,actually,23,0.13052152228125338
370,travelgirl1971,23,0.13052152228125338
371,sold,23,0.13052152228125338
372,season,23,0.13052152228125338
373,put,23,0.13052152228125338
374,wo,23,0.13052152228125338
375,wholefoods,23,0.13052152228125338
376,concert,23,0.13052152228125338
377,samsung,23,0.13052152228125338
378,twittsmcgee,23,0.13052152228125338
379,mo,23,0.13052152228125338
380,fashion,23,0.13052152228125338
381,},22,0.13645431874858308
382,dark,22,0.13645431874858308
383,emma_moat,22,0.13645431874858308
384,deal,22,0.13645431874858308
385,link,22,0.13645431874858308
386,games,22,0.13645431874858308
387,special,22,0.13645431874858308
388,popculturemob,22,0.13645431874858308
389,plus,22,0.13645431874858308
390,test,22,0.13645431874858308
391,says,22,0.13645431874858308
392,thought,22,0.13645431874858308
393,vrzone,22,0.13645431874858308
394,otterbox,22,0.13645431874858308
395,almost,22,0.13645431874858308
396,fuck,22,0.13645431874858308
397,sneakersaddict,22,0.13645431874858308
398,laurenj77,22,0.13645431874858308
399,bieberinbrooklyn,22,0.13645431874858308
400,jaythewanted,21,0.14295214345089657
401,full,21,0.14295214345089657
402,tickets,21,0.14295214345089657
403,white,21,0.14295214345089657
404,cute,21,0.14295214345089657
405,tv,21,0.14295214345089657
406,20,21,0.14295214345089657
407,another,21,0.14295214345089657
408,winter,21,0.14295214345089657
409,cash,21,0.14295214345089657
410,break,21,0.14295214345089657
411,artist,21,0.14295214345089657
412,enjoy,21,0.14295214345089657
413,screen,21,0.14295214345089657
414,collection,21,0.14295214345089657
415,red,21,0.14295214345089657
416,story,21,0.14295214345089657
417,r,21,0.14295214345089657
418,brother,21,0.14295214345089657
419,_vidyala,21,0.14295214345089657
420,forward,21,0.14295214345089657
421,boys,21,0.14295214345089657
422,choice,21,0.14295214345089657
423,ng,21,0.14295214345089657
424,kiba153chan,20,0.1500997506234414
425,info,20,0.1500997506234414
426,mamasmoney,20,0.1500997506234414
427,thewayyouglow,20,0.1500997506234414
428,damn,20,0.1500997506234414
429,everything,20,0.1500997506234414
430,important,20,0.1500997506234414
431,lose,20,0.1500997506234414
432,mother,20,0.1500997506234414
433,xo,20,0.1500997506234414
434,heart,20,0.1500997506234414
435,cover,20,0.1500997506234414
436,ways,20,0.1500997506234414
437,late,20,0.1500997506234414
438,anyone,20,0.1500997506234414
439,name,20,0.1500997506234414
440,giving,20,0.1500997506234414
