,ds_type,n_samples,noise_level,clf_type,param,k,train_acc,test_acc,error_diff
267,moons,10000,0.4,svm,0.7,4,0.863,0.852,0.01100000000000001
268,moons,10000,0.4,svm,0.9,4,0.8628888888888889,0.853,0.009888888888888947
269,moons,10000,0.4,svm,1.0,4,0.8641111111111112,0.853,0.011111111111111183
270,moons,10000,0.4,svm,0.1,5,0.8497777777777777,0.866,-0.01622222222222225
271,moons,10000,0.4,svm,0.3,5,0.8612222222222222,0.87,-0.008777777777777773
272,moons,10000,0.4,svm,0.5,5,0.8611111111111112,0.869,-0.007888888888888834
273,moons,10000,0.4,svm,0.7,5,0.8608888888888889,0.871,-0.01011111111111107
274,moons,10000,0.4,svm,0.9,5,0.8612222222222222,0.874,-0.012777777777777777
275,moons,10000,0.4,svm,1.0,5,0.8621111111111112,0.875,-0.012888888888888839
276,moons,10000,0.4,svm,0.1,6,0.851,0.857,-0.006000000000000005
277,moons,10000,0.4,svm,0.3,6,0.8622222222222222,0.865,-0.002777777777777768
278,moons,10000,0.4,svm,0.5,6,0.8631111111111112,0.862,0.0011111111111111738
279,moons,10000,0.4,svm,0.7,6,0.8632222222222222,0.863,0.00022222222222223476
280,moons,10000,0.4,svm,0.9,6,0.8642222222222222,0.862,0.0022222222222222365
281,moons,10000,0.4,svm,1.0,6,0.8644444444444445,0.862,0.0024444444444444713
282,moons,10000,0.4,svm,0.1,7,0.852,0.854,-0.0020000000000000018
283,moons,10000,0.4,svm,0.3,7,0.8621111111111112,0.864,-0.0018888888888888289
284,moons,10000,0.4,svm,0.5,7,0.8625555555555555,0.865,-0.0024444444444444713
285,moons,10000,0.4,svm,0.7,7,0.862,0.864,-0.0020000000000000018
286,moons,10000,0.4,svm,0.9,7,0.862,0.864,-0.0020000000000000018
287,moons,10000,0.4,svm,1.0,7,0.8628888888888889,0.867,-0.004111111111111065
288,moons,10000,0.4,svm,0.1,8,0.8525555555555555,0.837,0.015555555555555545
289,moons,10000,0.4,svm,0.3,8,0.8632222222222222,0.852,0.011222222222222245
290,moons,10000,0.4,svm,0.5,8,0.8634444444444445,0.853,0.010444444444444478
291,moons,10000,0.4,svm,0.7,8,0.8635555555555555,0.851,0.012555555555555542
292,moons,10000,0.4,svm,0.9,8,0.8636666666666667,0.853,0.010666666666666713
293,moons,10000,0.4,svm,1.0,8,0.8636666666666667,0.854,0.009666666666666712
294,moons,10000,0.4,svm,0.1,9,0.8523333333333334,0.849,0.0033333333333334103
295,moons,10000,0.4,svm,0.3,9,0.8632222222222222,0.854,0.009222222222222243
296,moons,10000,0.4,svm,0.5,9,0.8628888888888889,0.857,0.0058888888888889435
297,moons,10000,0.4,svm,0.7,9,0.8632222222222222,0.856,0.007222222222222241
298,moons,10000,0.4,svm,0.9,9,0.863,0.856,0.007000000000000006
299,moons,10000,0.4,svm,1.0,9,0.8628888888888889,0.856,0.006888888888888944
300,moons,10000,0.5,svm,0.1,0,0.8168888888888889,0.825,-0.008111111111111069
301,moons,10000,0.5,svm,0.3,0,0.8228888888888889,0.826,-0.0031111111111110645
302,moons,10000,0.5,svm,0.5,0,0.8234444444444444,0.827,-0.003555555555555534
303,moons,10000,0.5,svm,0.7,0,0.8236666666666667,0.827,-0.0033333333333332993
304,moons,10000,0.5,svm,0.9,0,0.8238888888888889,0.828,-0.004111111111111065
305,moons,10000,0.5,svm,1.0,0,0.8234444444444444,0.827,-0.003555555555555534
306,moons,10000,0.5,svm,0.1,1,0.8171111111111111,0.823,-0.0058888888888888324
307,moons,10000,0.5,svm,0.3,1,0.8231111111111111,0.827,-0.0038888888888888307
308,moons,10000,0.5,svm,0.5,1,0.8234444444444444,0.828,-0.004555555555555535
309,moons,10000,0.5,svm,0.7,1,0.8234444444444444,0.827,-0.003555555555555534
310,moons,10000,0.5,svm,0.9,1,0.8233333333333334,0.825,-0.0016666666666665941
311,moons,10000,0.5,svm,1.0,1,0.823,0.824,-0.0010000000000000009
312,moons,10000,0.5,svm,0.1,2,0.8161111111111111,0.832,-0.01588888888888884
313,moons,10000,0.5,svm,0.3,2,0.8205555555555556,0.839,-0.018444444444444374
314,moons,10000,0.5,svm,0.5,2,0.8207777777777778,0.84,-0.01922222222222214
315,moons,10000,0.5,svm,0.7,2,0.8211111111111111,0.841,-0.019888888888888845
316,moons,10000,0.5,svm,0.9,2,0.8213333333333334,0.84,-0.01866666666666661
317,moons,10000,0.5,svm,1.0,2,0.8214444444444444,0.841,-0.019555555555555548
318,moons,10000,0.5,svm,0.1,3,0.8181111111111111,0.809,0.00911111111111107
319,moons,10000,0.5,svm,0.3,3,0.8236666666666667,0.823,0.0006666666666667043
320,moons,10000,0.5,svm,0.5,3,0.8237777777777778,0.824,-0.00022222222222212373
321,moons,10000,0.5,svm,0.7,3,0.8244444444444444,0.824,0.0004444444444444695
322,moons,10000,0.5,svm,0.9,3,0.8238888888888889,0.823,0.000888888888888939
323,moons,10000,0.5,svm,1.0,3,0.824,0.823,0.0010000000000000009
324,moons,10000,0.5,svm,0.1,4,0.8181111111111111,0.817,0.0011111111111111738
325,moons,10000,0.5,svm,0.3,4,0.8235555555555556,0.822,0.0015555555555556433
326,moons,10000,0.5,svm,0.5,4,0.8242222222222222,0.823,0.0012222222222222356
327,moons,10000,0.5,svm,0.7,4,0.8242222222222222,0.824,0.00022222222222223476
328,moons,10000,0.5,svm,0.9,4,0.8242222222222222,0.824,0.00022222222222223476
329,moons,10000,0.5,svm,1.0,4,0.8236666666666667,0.824,-0.0003333333333332966
330,moons,10000,0.5,svm,0.1,5,0.819,0.809,0.009999999999999898
331,moons,10000,0.5,svm,0.3,5,0.8236666666666667,0.81,0.013666666666666605
332,moons,10000,0.5,svm,0.5,5,0.8246666666666667,0.81,0.014666666666666606
333,moons,10000,0.5,svm,0.7,5,0.8253333333333334,0.809,0.01633333333333331
